,CountryCode,economic_freedom,gni_per_capita,human_development,life_expectancy,average_years_school,political_regime
0,ABW,,,,76.293,,
1,AFG,,,0.498,64.833,3.8,-1
2,AGO,5.166512658,5789.86151068948,0.581,61.147,5.1,-2
3,ALB,7.538571065,11885.5081368535,0.785,78.573,10,9
4,AND,,,0.858,83.732,10.2,
5,ARE,7.485404568,67804.5585055146,0.863,77.972,10.8,-8
6,ARG,4.839536444,18460.7366472996,0.825,76.667,9.9,9
7,AUS,7.977567819,43560.0577412082,0.939,83.436,12.9,10
8,AUT,7.564971368,,0.908,81.544,12.1,10
9,AZE,6.477059287,,0.757,73.005,10.7,-7
10,BDI,5.932866637,,0.417,61.584,3,-1
11,BEL,7.324201584,,0.916,81.628,11.8,8
12,BEN,5.978389576,2061.43306489862,0.515,61.771,3.6,7
13,BFA,6.059183395,1650.09209592256,0.423,61.577,1.5,6
14,BGD,6.320027985,3676.92337829736,0.608,72.591,5.8,1
15,BGR,7.413846286,18740.1118362172,0.813,75.046,11.8,9
16,BHR,7.547998735,,0.846,77.292,9.4,-10
17,BHS,7.348118274,,0.807,73.918,11.1,
18,BIH,6.621755881,11716.0206951943,0.768,77.401,9.7,
19,BLR,6.222585784,16323.4615350167,0.808,74.791,12.3,-7
20,BLZ,6.861622623,7165.80991969616,0.708,74.623,10.5,
21,BMU,,,,82.593,,
22,BOL,6.23460416,6714.02719063926,0.693,71.513,8.9,7
23,BRA,5.758552944,,0.759,75.881,7.8,8
24,BRB,6.441310507,,0.8,79.19,10.6,
25,BRN,6.941173001,76427.210320436,0.853,75.86,9.1,
26,BTN,7.036470399,8064.82765122935,0.612,71.777,3.1,5
27,BWA,7.437125791,,0.717,69.592,9.3,8
28,CAF,5.085648,663.151633091141,0.367,53.283,4.3,0
29,CAN,7.989774329,,0.926,82.434,13.3,10
30,CHE,8.387414206,,0.944,83.779,13.4,10
31,CHL,7.780627687,21909.5009841161,0.843,80.181,10.3,10
32,CHN,6.451520582,15269.7612435785,0.752,76.912,7.8,-7
33,CIV,5.994718394,3481.22531023514,0.492,57.783,5.2,4
34,CMR,5.844995065,3314.7445844552,0.556,59.292,6.3,-4
35,COD,5.679637719,795.826415219178,0.457,60.681,6.8,5
36,COG,5.0329102,5694.22101104242,0.606,64.57,6.3,-4
37,COL,6.4960464,12937.8797683069,0.747,77.287,8.3,7
38,COM,,,0.503,64.321,4.8,9
39,CPV,6.662962575,5983.13756591404,0.654,72.981,6.1,10
40,CRI,7.544079485,14636.3819185469,0.794,80.279,8.8,10
41,CUB,,,0.777,78.802,11.8,-7
42,CYP,7.708212245,31567.6880972837,0.869,80.982,12.1,10
43,CZE,7.573594724,,0.888,79.376,12.7,9
44,DEU,7.679705306,,0.936,81.326,14.1,10
45,DJI,,,0.476,67.112,4.1,4
46,DMA,,,0.715,75,7.8,
47,DNK,7.766156184,,0.929,80.898,12.6,10
48,DOM,7.18506935,13920.9942627763,0.736,74.081,7.8,8
49,DZA,4.985321051,,0.754,76.88,8,2
50,ECU,6.058442512,10346.619438055,0.752,77.01,8.7,5
51,EGY,5.712223766,10354.8018066468,0.696,71.99,7.2,-4
52,ERI,,,0.44,66.321,4,-7
53,ESP,7.551851757,,0.891,83.565,9.8,10
54,EST,7.837735993,,0.871,78.745,12.7,9
55,ETH,5.746327451,1719.37817622924,0.463,66.597,2.7,
56,FIN,7.620819275,,0.92,81.908,12.4,10
57,FJI,6.808111223,,0.741,67.444,10.8,2
58,FRA,7.23569039,,0.901,82.659,11.5,9
59,FRO,,,,80.666,,
60,GAB,5.864793558,16700.5725979277,0.702,66.467,8.2,3
61,GBR,8.007157126,,0.922,81.321,12.9,10
62,GEO,8.02,9186.40971404991,0.78,73.767,12.8,7
63,GHA,6.601015102,4096.17378854456,0.592,64.074,7.1,8
64,GIN,5.9311292,1982.67535841622,0.459,61.602,2.6,4
65,GMB,7.359703603,1515.61998345615,0.46,62.05,3.5,-5
66,GRC,6.492319707,,0.87,82.239,10.8,10
67,GRL,,,,71.704,,
68,GTM,7.623024421,7278.14230294899,0.65,74.302,6.5,8
69,GUM,,,,80.074,,
70,GUY,6.319215573,,0.654,69.906,8.4,7
71,HKG,8.971599172,58419.7099180759,0.933,84.857,12,
72,HND,7.053142395,4215.29380286496,0.617,75.27,6.5,7
73,HRV,6.95783489,22162.3372570845,0.831,78.488,11.3,9
74,HTI,6.540483644,1665.46259614201,0.498,64.001,5.3,0
75,HUN,7.226473871,,0.838,76.875,11.9,10
76,IDN,7.142168145,10846.3379517911,0.694,71.716,8,9
77,IND,6.627177736,,0.64,69.656,6.4,9
78,IRL,8.067158288,,0.938,82.305,12.5,10
79,IRN,6.020622191,,0.798,76.677,9.8,-7
80,IRQ,5.407654263,,0.685,70.604,6.8,6
81,ISL,7.212059862,,0.935,82.993,12.4,
82,ISR,7.469375569,,0.903,82.972,13,6
83,ITA,7.272612388,,0.88,83.512,10.2,10
84,JAM,7.198321709,,0.732,74.475,9.8,9
85,JOR,7.469710428,8288.46284500668,0.735,74.526,10.4,-3
86,JPN,7.470801386,,0.909,84.629,12.8,10
87,KAZ,7.118116418,,0.8,73.597,11.8,-6
88,KEN,7.214441717,2960.79969894826,0.59,66.699,6.5,9
89,KGZ,6.928605538,3255.23858288028,0.672,71.45,10.9,7
90,KHM,7.187433978,3412.93743068216,0.582,69.823,4.8,2
91,KOR,7.501501501,35944.7094868894,0.903,83.033,12.1,8
92,KWT,6.762842638,,0.803,75.489,7.3,-7
93,LAO,6.897792969,6070.1156297859,0.601,67.923,5.2,-7
94,LBN,7.0162559,13377.7298369427,0.757,78.93,8.7,6
95,LBR,6.558400412,,0.435,64.104,4.7,6
96,LBY,4.773094763,,0.706,72.913,7.3,0
97,LKA,6.489522916,11325.6271659605,0.77,76.978,10.9,6
98,LSO,6.381731401,,0.52,54.331,6.3,8
99,LTU,7.849591595,,0.858,75.933,13,10
100,LUX,7.586641726,,0.904,82.25,12.1,10
101,LVA,7.642272018,,0.847,75.292,12.8,8
102,MAC,,,,84.244,,
103,MAR,6.339798901,7339.62131860966,0.667,76.68,5.5,-4
104,MCO,,,,86.751,,
105,MDA,6.629613844,,0.7,71.901,11.6,9
106,MDG,6.174695918,,0.519,67.041,6.1,6
107,MEX,6.895887517,16944.0954603494,0.774,75.054,8.6,8
108,MLI,5.794917503,1952.94600974407,0.427,59.306,2.3,5
109,MMR,5.41638899,,0.578,67.134,4.9,
110,MNG,7.395856246,10103.0502339939,0.741,69.87,10.1,10
111,MOZ,5.479430172,1092.6881583374,0.437,60.854,3.5,5
112,MRT,5.962612389,3591.76119601321,0.52,64.925,4.5,-2
113,MUS,7.995281457,,0.79,74.991,9.3,10
114,MWI,5.86902225,1064.4165105203,0.477,64.263,4.5,6
115,MYS,6.913130396,26107.2700234583,0.802,76.156,10.2,5
116,NAM,6.413544685,9387.19590673109,0.647,63.708,6.8,6
117,NER,5.965836428,905.868048614848,0.354,62.42,2,6
118,NGA,6.36072046,,0.532,54.687,6.2,7
119,NIC,7.277070764,5157.31565563182,0.658,74.485,6.7,9
120,NLD,7.697608946,,0.931,82.283,12.2,10
121,NOR,7.57088482,,0.953,82.404,12.6,10
122,NPL,6.527727586,2470.98802064738,0.574,70.778,4.9,6
123,NZL,8.490329773,,0.917,82.288,12.5,10
124,OMN,6.749671402,,0.821,77.861,9.5,-8
125,PAK,5.993016925,5311.2192894691,0.562,67.273,5.2,7
126,PAN,7.566113507,,0.789,78.506,10.2,9
127,PER,7.439497099,11789.348240594,0.75,76.736,9.2,9
128,PHL,7.347101298,9153.54352027539,0.699,71.231,9.3,8
129,PNG,6.268588715,,0.544,64.501,4.6,5
130,POL,7.26956524,26150.4026332509,0.865,78.73,12.3,10
131,PRI,,,,80.104,,
132,PRT,7.496775811,,0.847,82.049,9.2,10
133,PRY,6.93248077,8380.1293351484,0.702,74.254,8.4,9
134,PSE,,5055.08617311265,0.686,74.053,9.1,
135,QAT,7.467956558,,0.856,80.227,9.8,-10
136,RKS,,,,,,
137,ROU,7.698155057,22645.5384670919,0.811,76.054,11,9
138,RUS,6.823958472,24232.5558002071,0.816,72.584,12,4
139,RWA,7.483949815,1811.22353144362,0.524,69.024,4.1,-3
140,SAU,6.516357351,49680.2206875501,0.853,75.133,9.5,-10
141,SDN,5.36,4119.15184879187,0.502,65.311,3.7,
142,SEN,6.199727938,2384.17729901274,0.505,67.941,3,7
143,SGP,8.820735091,82503.1270143071,0.932,83.62,11.5,-2
144,SLB,,,0.546,72.996,5.5,8
145,SLE,5.744552987,,0.419,54.696,3.5,7
146,SLV,7.133397009,6868.10760637141,0.674,73.317,6.9,8
147,SMR,,,,84.972,,
148,SOM,,,,57.397,,5
149,SRB,6.855902529,13018.7081301344,0.787,76.001,11.1,8
150,SSD,,,0.388,57.846,4.8,0
151,SUR,6.381872508,,0.72,71.682,8.5,5
152,SVK,7.308716412,,0.855,77.542,12.5,10
153,SVN,7.044029738,,0.896,81.324,12.2,10
154,SWE,7.431505399,,0.933,82.797,12.4,10
155,SWZ,6.470780954,,0.588,60.194,6.5,-9
156,SYC,7.234818257,,0.797,73.402,9.5,
157,SYR,5.034062658,,0.536,72.697,5.1,-9
158,TCD,5.456090431,1750.18569663616,0.404,54.239,2.3,-2
159,TGO,5.784202354,1453.43224683177,0.503,61.042,4.8,-2
160,THA,6.821824859,,0.755,77.15,7.6,-3
161,TJK,6.716732564,,0.65,71.097,10.4,-3
162,TKM,,,0.706,68.191,9.8,-8
163,TLS,6.561040228,6846.39004535452,0.625,69.495,4.5,8
164,TTO,6.741669083,,0.784,73.507,10.9,10
165,TUN,6.276433717,,0.735,76.699,7.2,7
166,TUR,6.821242893,24803.9887308016,0.791,77.691,8,3
167,TWN,7.883663307,,,80.456,,10
168,TZA,6.930080248,,0.538,65.456,5.8,3
169,UGA,7.43850886,1657.97633378326,0.516,63.368,6.1,-1
170,UKR,5.969297672,8130.39916527612,0.751,72.065,11.3,4
171,URY,7.150333043,19930.4083439185,0.804,77.911,8.7,10
172,USA,8.040992466,,0.924,78.862,13.4,10
173,UZB,,6470.08262172705,0.71,71.725,11.5,-9
174,VEN,2.88085998,,0.761,72.064,10.3,4
175,VIR,,,,80.583,,
176,VNM,6.416821979,5858.89811302848,0.694,75.4,8.2,-7
177,VUT,,,0.603,70.474,6.8,
178,YEM,6.37069288,,0.452,66.125,3,0
179,ZAF,6.658054541,11923.2676977211,0.699,64.131,10.1,9
180,ZMB,6.603235047,,0.588,63.886,7,7
181,ZWE,6.07711626,1682.83929917614,0.535,61.49,8.2,4
